Episode_title	Episode_runtime	Released_on 
Goodbye 2020!	21 mins	01 Jan 2021
New Year, Same Jethalal	22 mins	04 Jan 2021
Taarak Tired Of Dieting	20 mins	05 Jan 2021
Taarak's Optimism	22 mins	06 Jan 2021
Bhide's New Year	21 mins	07 Jan 2021
Suspense Of Popatlal's Wife	20 mins	08 Jan 2021
Jethalal Misunderstands The Situation	21 mins	11 Jan 2021
Jethalal And Mehta's Misunderstanding	21 mins	12 Jan 2021
Jethalal's Misunderstanding Cleared	20 mins	13 Jan 2021
Welcome Party For Popatlal's Wife	21 mins	14 Jan 2021
Popatlal's Wife Celebrates	20 mins	15 Jan 2021
Truth About Popatlal's Wife	20 mins	18 Jan 2021
Popatlal's Journalism Award	21 mins	19 Jan 2021
Jethalal's Documents Ruined	21 mins	20 Jan 2021
Taarak And The Rasgulla	21 mins	21 Jan 2021
Taarak's Quest For Rasgulla	21 mins	22 Jan 2021
Republic Day Preparations	21 mins	25 Jan 2021
Mahila Mandal's Republic Day Surprise	20 mins	26 Jan 2021
Tempo Stuck In Gokuldham Society	20 mins	27 Jan 2021
Bapuji's Intervention	21 mins	28 Jan 2021
Babita Finds Iyer's Letter	19 mins	29 Jan 2021
Jethalal Reads Letter To Babitaji	21 mins	01 Feb 2021
Sundar Brings Daya's Letter	20 mins	02 Feb 2021
The Client Who Owes Jethalal Rs	21 mins	03 Feb 2021
Iyer Needs 100 Tabs	20 mins	04 Feb 2021
Pending Bills	20 mins	05 Feb 2021
Bad News For Babitaji	21 mins	08 Feb 2021
Jethalal Unable To Get The Order	20 mins	09 Feb 2021
Babitaji Angry At Jethalal	20 mins	10 Feb 2021
Jethalal And Mehta Sahab Plan For Vasooli	21 mins	11 Feb 2021
Jethalal Seeks More Help	21 mins	12 Feb 2021
Bhide And Sodhi's Plan	20 mins	15 Feb 2021
Sodhi Poses As Crorepati	20 mins	16 Feb 2021
Jethalal Meets Bhogilal	21 mins	17 Feb 2021
Jethalal In Deep Trouble	20 mins	18 Feb 2021
Jethalal Apologizes	21 mins	19 Feb 2021
Jethalal Plans To Sell His Shop	20 mins	22 Feb 2021
Gokuldham Without Jethalal	20 mins	23 Feb 2021
Jethalal Sells His Shop	21 mins	24 Feb 2021
Bapuji Finds A Solution	20 mins	25 Feb 2021
Sundar Brings Good News	20 mins	26 Feb 2021
Jethalal's Grandfather's Warning	20 mins	01 Mar 2021
Jethalal Has Changed His Mind	21 mins	02 Mar 2021
Jethalal's Dilemma	20 mins	03 Mar 2021
Bhogilal Is Sundar's Client	20 mins	04 Mar 2021
Gokuldham Against Bhogilal	20 mins	05 Mar 2021
Bhogilal Arrives	20 mins	08 Mar 2021
Bhogilal Meets Bapuji	20 mins	09 Mar 2021
Bapuji Signs The Papers	20 mins	10 Mar 2021
Bhagwaan Bhogilal Ka Bhala Kare	20 mins	11 Mar 2021
Bhogilal Calls The Police	19 mins	12 Mar 2021
Jethalal And Boghilal's Final Showdown	22 mins	15 Mar 2021
The End Of Boghilal	21 mins	16 Mar 2021
Happy Days Are Back Again	21 mins	17 Mar 2021
Discount On Tuition Fees	21 mins	18 Mar 2021
Bhide's Online Classes	21 mins	19 Mar 2021
The Students' Future	21 mins	22 Mar 2021
The New Normal	21 mins	23 Mar 2021
Jethalal's Maintenance Cheque	21 mins	24 Mar 2021
Babita's Special Dinner	21 mins	25 Mar 2021
Gas Cylinder For Babita	20 mins	26 Mar 2021
Jethalal Delivers Gas Cylinder	21 mins	29 Mar 2021
The More The Merrier	20 mins	30 Mar 2021
The Infuriating Message	21 mins	31 Mar 2021
Popatlal Ki Fan	21 mins	01 Apr 2021
Popatlal's Dream Girl	20 mins	02 Apr 2021
Popatlal's Wrong Parcel	19 mins	05 Apr 2021
Popatlal's Lost Parcel	21 mins	06 Apr 2021
Search For Popatlal's Parcel	20 mins	07 Apr 2021
Popatlal Gets Impatient	21 mins	08 Apr 2021
Popatlal Seeks Pandey's Help	20 mins	09 Apr 2021
Popatlal's Mangoes Found	21 mins	12 Apr 2021
The Truth About The Parcel	21 mins	13 Apr 2021
Popatlal Meets Pooja	21 mins	14 Apr 2021
Preparation To Welcome Pooja	20 mins	15 Apr 2021
Pooja Shares Her Feelings	21 mins	16 Apr 2021
Popatlal - The Guru	20 mins	19 Apr 2021
Good News For Everyone	22 mins	20 Apr 2021
Waiting For Surprise	22 mins	21 Apr 2021
Taarak Mehta Ka Chhota Chasmah	20 mins	22 Apr 2021
The Troubled Bhide	21 mins	23 Apr 2021
Bhide Worried About His Students	20 mins	26 Apr 2021
Bhide Calls For A Parent Meeting	21 mins	27 Apr 2021
Bhide Talks To All Parents	21 mins	28 Apr 2021
All Parents Arrive At Gokuldham	22 mins	29 Apr 2021
Bhide Counsels The Students	21 mins	30 Apr 2021
Taarak Prays For Health	20 mins	03 May 2021
Popatlal's New Mission	21 mins	04 May 2021
Mission Kala Kauwa	20 mins	05 May 2021
Popatlal Gets Distracted	21 mins	06 May 2021
Mission Hits A Speedbump	22 mins	07 May 2021
Popatlal Finds Determination	22 mins	10 May 2021
Chasing Dr Hathi	22 mins	11 May 2021
Dr Hathi Fails	21 mins	12 May 2021
Mission Kala Kauwa Failed	21 mins	13 May 2021
Popatlal Takes A Boat Ride	21 mins	14 May 2021
Problems At Gada Electronics	21 mins	17 May 2021
Luring Jethalal	21 mins	18 May 2021
Jethalal Is On The Way	22 mins	19 May 2021
Popatlal's Secret	23 mins	20 May 2021
Jethalal At The Resort	21 mins	21 May 2021
Jethalal Finds About The Mission	22 mins	24 May 2021
Jethalal Goes Undercover	22 mins	25 May 2021
The Next Step	22 mins	26 May 2021
Finding The Informant	21 mins	27 May 2021
Safed Kabootar	20 mins	28 May 2021
Jethalal's New Suspect	22 mins	31 May 2021
Popatlal Meets Sanjana	21 mins	01 Jun 2021
Popatlal Proposes To Sanjana	21 mins	02 Jun 2021
Popatlal Gets Caught	21 mins	03 Jun 2021
Popatlal Meets The Boss	21 mins	04 Jun 2021
Dulhe Ki Khatirdaari	20 mins	07 Jun 2021
Jethalal's New Cover	20 mins	08 Jun 2021
Popatlal Waits For A Miracle	21 mins	09 Jun 2021
Police Arrives At The Resort	20 mins	10 Jun 2021
Jethalal Meets The Boss	20 mins	11 Jun 2021
Pandey Maarega Dande	22 mins	14 Jun 2021
Pandey Finds Clues	21 mins	15 Jun 2021
Popatlal Saved	21 mins	16 Jun 2021
Popatlal Gathers Evidence	20 mins	17 Jun 2021
Mission Kala Kauwa Completed	22 mins	18 Jun 2021
Celebrating The Success	21 mins	21 Jun 2021
Gokuldham Plans A Party	21 mins	22 Jun 2021
The Guest Of Honour	21 mins	23 Jun 2021
Gokuldham Prepares To Leave	21 mins	24 Jun 2021
Bus Ride To The Resort	22 mins	25 Jun 2021
Games On The Bus	21 mins	28 Jun 2021
Jethalal Prepares For Everyone's Arrival	22 mins	29 Jun 2021
The Fun Journey Continues	21 mins	30 Jun 2021
The Journey Ends	22 mins	01 Jul 2021
Gokuldham Waalo Ka Swaagat	20 mins	02 Jul 2021
Party Bag Goes Missing	20 mins	05 Jul 2021
Walk Around The Resort	21 mins	06 Jul 2021
Roaming The Resort	21 mins	07 Jul 2021
Kadha For Everyone	21 mins	08 Jul 2021
Taarak Books A Hall	21 mins	09 Jul 2021
Sammaan Samaroh	20 mins	12 Jul 2021
Narrating The Mission	21 mins	13 Jul 2021
Kala Kauwa Trophy	22 mins	14 Jul 2021
Party Sharty Ka Jugaad	22 mins	15 Jul 2021
Gokuldham Dinner	21 mins	16 Jul 2021
Party Sharty Start	21 mins	19 Jul 2021
Bagha Loses Control	21 mins	20 Jul 2021
Catching Bagha	21 mins	21 Jul 2021
Bagha Ke Liye Goli	21 mins	22 Jul 2021
Bapuji Finds The Bottle	22 mins	23 Jul 2021
Bapuji Makes Everyone Dance	21 mins	26 Jul 2021
Joshile Vs Mastane	22 mins	27 Jul 2021
Gokuldham Boat Race	23 mins	28 Jul 2021
Check Out From Resort	22 mins	29 Jul 2021
Leaving The Resort	22 mins	30 Jul 2021
Remembering The Trip	21 mins	02 Aug 2021
Right To Party	22 mins	03 Aug 2021
Remembering Dilip Kumar	22 mins	04 Aug 2021
A Healthy Diet	21 mins	05 Aug 2021
Missing Glasses	21 mins	06 Aug 2021
Late For Work	22 mins	09 Aug 2021
The Empty Warehouse	22 mins	10 Aug 2021
Saving Taarak	21 mins	11 Aug 2021
Magan Saves The Day	20 mins	12 Aug 2021
Taarak Gets Caught	21 mins	13 Aug 2021
Taarak Ke Bahane	22 mins	16 Aug 2021
Jalebi Ke Sapne	22 mins	17 Aug 2021
Jalebi Ka Order	22 mins	18 Aug 2021
Gokuldham Vaccination Drive	21 mins	19 Aug 2021
Publicity Plans	20 mins	20 Aug 2021
The Sena's Vaccination Song	21 mins	23 Aug 2021
Convincing To Take A Shot	22 mins	24 Aug 2021
Jethalal Ka Brahmastra	20 mins	25 Aug 2021
Gokuldham Vaccinated	21 mins	26 Aug 2021
Jethalal Caught	22 mins	27 Aug 2021
Gokuldham Vaccination Rumours	21 mins	30 Aug 2021
Vaccination Drive Sabotaged	21 mins	31 Aug 2021
Colony Members Under Arrest?	21 mins	01 Sep 2021
Convincing People For Vaccination	22 mins	02 Sep 2021
Successful Vaccination Drive	21 mins	03 Sep 2021
Post Vaccine Effects	22 mins	06 Sep 2021
Popatlal Returns From Hyderabad	22 mins	07 Sep 2021
Bhide Wants To Plan Ganesh Utsav	23 mins	08 Sep 2021
Bhide Prepares For Ganesh Utsav	22 mins	09 Sep 2021
An Excited Bhide	20 mins	10 Sep 2021
Champaklal Comes Up With A Solution	21 mins	13 Sep 2021
Ganesha's Message For Bhide	21 mins	14 Sep 2021
Aftermath Of Bhide's Dream	22 mins	15 Sep 2021
Pandits Create Confusion	22 mins	16 Sep 2021
Bappa Arrives At Gokuldham	22 mins	17 Sep 2021
Bappa's Welcome	20 mins	20 Sep 2021
Ranga Rang Karyakram	21 mins	21 Sep 2021
Independence Day At Gokuldham	21 mins	22 Sep 2021
Ganesh Utsav Competition	22 mins	23 Sep 2021
The Patriots At Gokuldham	22 mins	24 Sep 2021
Insaan Se Insaan Jude	21 mins	27 Sep 2021
Tapu Sena's Combined Act	18 mins	28 Sep 2021
Laut Ke Aayenge	21 mins	29 Sep 2021
Sakharam Buddha Ho Gaya	21 mins	30 Sep 2021
Sakharam Hua Chori	21 mins	01 Oct 2021
Sakharam Is Safe	20 mins	04 Oct 2021
Bhide Needs Cash	22 mins	05 Oct 2021
Tapu Sena Loses The Cheque	20 mins	06 Oct 2021
Bhide's Money Withdrawn	20 mins	07 Oct 2021
Bhide Finds The Cheque	20 mins	08 Oct 2021
Paiso Ka Jugaad	21 mins	09 Oct 2021
Tapu Sena Contacts A Loan Shark	20 mins	11 Oct 2021
Tapu Sena Ki Complaint	22 mins	12 Oct 2021
Tapu Sena's Parents Meet	22 mins	13 Oct 2021
Tapu Sena's Confession	22 mins	14 Oct 2021
Bapuji Ka Saath	21 mins	15 Oct 2021
Bhide Ka Bhayanak Sapna	22 mins	16 Oct 2021
Bhide's Midnight Scare	21 mins	18 Oct 2021
Popatlal's Fan Mail	21 mins	19 Oct 2021
The Kahwa Party	21 mins	20 Oct 2021
Taarak Has 30 Minutes	20 mins	21 Oct 2021
Taarak Ka Hathiyaar	22 mins	22 Oct 2021
Taarak's Poem	22 mins	23 Oct 2021
Rootha Hua Jetha	22 mins	25 Oct 2021
Saving Taarak's Job	21 mins	26 Oct 2021
Iyer Gets Into Trouble	21 mins	27 Oct 2021
Sutli Bomb Jaisi Kavita	21 mins	28 Oct 2021
Taarak And Iyer's Meeting	21 mins	29 Oct 2021
Democracy In The Office	21 mins	30 Oct 2021
Supporting The Small Shops	22 mins	01 Nov 2021
Diwali Shopping	21 mins	02 Nov 2021
Helping The Needy	20 mins	03 Nov 2021
Permission For Stalls	22 mins	04 Nov 2021
Permission Granted	22 mins	05 Nov 2021
Tapu Sena On High Alert	21 mins	06 Nov 2021
Ahmedabad Se Surprise	21 mins	08 Nov 2021
Kachori Delivery	21 mins	09 Nov 2021
Jethalal - The Cricketer	21 mins	10 Nov 2021
Renovation At Gada Electronics	20 mins	11 Nov 2021
Iyer Trips And Falls	21 mins	12 Nov 2021
Pyaar Ki Kala	21 mins	13 Nov 2021
Jethalal Se Vasooli	20 mins	15 Nov 2021
Jethalal Ke Office Aye Gunde	20 mins	16 Nov 2021
Searching For Santosh Contractor	20 mins	17 Nov 2021
Finding Babita's Phone	21 mins	18 Nov 2021
Retrieving Babita's Phone	20 mins	19 Nov 2021
Jethalal's Lies Get Caught	20 mins	20 Nov 2021
Jethalal Ki Deal	22 mins	22 Nov 2021
Paise Do Phone Lo	20 mins	23 Nov 2021
Jethalal Arrested	20 mins	24 Nov 2021
Jethalal And Gang In Lock-Up	21 mins	25 Nov 2021
Jethalal Retrieves Babita's Phone	20 mins	26 Nov 2021
Chappal Exchange	21 mins	27 Nov 2021
Popatlal Ko Laga Jhatka	21 mins	29 Nov 2021
Madhvi Ki Keemti Saree	20 mins	30 Nov 2021
Bhide Gets Caught	20 mins	01 Dec 2021
Bhide Looks For A New Saree	20 mins	02 Dec 2021
Bhide Goes Saree Shopping	20 mins	03 Dec 2021
Bhide Gets The Saree	20 mins	04 Dec 2021
Mama Mami Ka Swagat	21 mins	06 Dec 2021
Bhide's Confession And Punishment	22 mins	07 Dec 2021
An Invitation From Big B	21 mins	08 Dec 2021
Gokuldham Ke Liye Khushkhabri	21 mins	09 Dec 2021
KBC Se Invitation	21 mins	10 Dec 2021
Yuva Unstoppable Foundation At Gokuldham	21 mins	11 Dec 2021
Gokuldham's Eligible Partner	21 mins	13 Dec 2021
Popatlal Ke Liye Do Rishte	21 mins	14 Dec 2021
Do Rishton Mein Phasa Popatlal	20 mins	15 Dec 2021
Popatlal Meets Sneha And Gungun	20 mins	16 Dec 2021
Gungun's Father Faints	21 mins	17 Dec 2021
No Shaadi For Popatlal	20 mins	18 Dec 2021
Toofani Astrologer	21 mins	20 Dec 2021
Popatlal Meets A Vastu Expert	22 mins	21 Dec 2021
Giving The Sherwani Away	22 mins	22 Dec 2021
Getting Rid Of The Sherwani	21 mins	23 Dec 2021
Popatlal Ki Sherwani Hai	22 mins	24 Dec 2021
Anjali Finds The Bills	22 mins	25 Dec 2021
Goli's Secret Mission	21 mins	27 Dec 2021
Khiladi Diet Plan	21 mins	28 Dec 2021
Diet Plan Shuru	22 mins	29 Dec 2021
Taarak Doesn't Like His Surprise	20 mins	30 Dec 2021
Taarak's Special Tiffin	22 mins	31 Dec 2021
Taarak Gets Tired Of His Diet	22 mins	01 Jan 2022
Taarak Found In A Kabristan	21 mins	03 Jan 2022
Karele Wali Ki Jaan	20 mins	04 Jan 2022
Karele Ka Bhoot	21 mins	05 Jan 2022
Gokuldham Mein Bhoot Ka Darr	21 mins	06 Jan 2022
Taarak Celebrates With Tapu Sena	21 mins	07 Jan 2022
Karele Ka Kuan	21 mins	08 Jan 2022
Taarak's Day Off	21 mins	10 Jan 2022
Psychiatrist For Taarak	22 mins	11 Jan 2022
Meeting For Taarak's Health	21 mins	12 Jan 2022
Taarak Fears The Shock Treatment	21 mins	13 Jan 2022
Baba Bhagayega Bhoot	22 mins	14 Jan 2022
Baba Ki Rasmein	20 mins	15 Jan 2022
Bottle Khul Chuki Hai	21 mins	17 Jan 2022
Taarak's Scam	22 mins	18 Jan 2022
Anjali Is Heartbroken	21 mins	19 Jan 2022
Taarak Makes Things Right	22 mins	20 Jan 2022
Preparation For A Potential Client	22 mins	21 Jan 2022
Jethalal's Sleepless Night	22 mins	22 Jan 2022
Godown Ki Chaabi	21 mins	24 Jan 2022
Bapuji Aur Jethalal Ka Miscommunication	22 mins	25 Jan 2022
Sakharam Gets Stopped By The Police	21 mins	26 Jan 2022
Harr Disha Se Museebat	21 mins	27 Jan 2022
Bapuji Welcomes The Client	22 mins	28 Jan 2022
Order Mila Bapuji Ki Wajah Se	21 mins	29 Jan 2022
Jethalal Ka Important Email	21 mins	31 Jan 2022
More Orders For Gada Electronics	21 mins	01 Feb 2022
Jethalal's Party Confirmed	22 mins	02 Feb 2022
Jethalal Ki Imandari	22 mins	03 Feb 2022
Jethalal Ki A1 Soch	21 mins	04 Feb 2022
Party Kab Aur Kaha Hogi	21 mins	05 Feb 2022
Party Location Fixed	22 mins	07 Feb 2022
Jethalal's Mission Permission	22 mins	08 Feb 2022
Mission Permission Ka Teesra Padhav	21 mins	09 Feb 2022
Mehfil-E-Jaam Mein Jaane Ki Ijaazat	21 mins	10 Feb 2022
Party Sharty Ki Taiyari	21 mins	11 Feb 2022
Bapuji Is Fed Lies	22 mins	12 Feb 2022
Party Ka Maza	20 mins	14 Feb 2022
Party Ka Popat	20 mins	15 Feb 2022
Yeh Chappal Jethia Ki Chappal Jaisi Hai	20 mins	16 Feb 2022
Aur Risk Nahi Le Sakte	22 mins	17 Feb 2022
Bagha's Attempt To Create A Diversion	22 mins	18 Feb 2022
Bhide Aur Popatlal Ki Ladai	21 mins	19 Feb 2022
Popatlal Apologises To Bhide	22 mins	21 Feb 2022
A New Tappu Sena Member	21 mins	22 Feb 2022
House For Kitty	21 mins	23 Feb 2022
Bad News Hain	21 mins	24 Feb 2022
Tapu's Plan For Kitty	20 mins	25 Feb 2022
Billi Ne Kiya Nuksaan	21 mins	26 Feb 2022
Box Hil Raha Hai	21 mins	28 Feb 2022
Abdul's Hunt For The Kitten	21 mins	01 Mar 2022
Abb Ladka Dekhne Nahi Jaa Sakte	21 mins	02 Mar 2022
Billi Ka Problem	21 mins	03 Mar 2022
Popatlal Ke Andar Ka Sher	21 mins	04 Mar 2022
Bapuji's Cat Allergy	21 mins	05 Mar 2022
Billi Ka Darr	21 mins	07 Mar 2022
Bhide Bhagayega Billi	21 mins	08 Mar 2022
Bhide Wants The Box	21 mins	09 Mar 2022
Apshagun Kuch Nahi Hai	21 mins	10 Mar 2022
Chasing Pom Pom Around	20 mins	11 Mar 2022
Billi Ne Dilaya Sodhi Ko Gussa	22 mins	12 Mar 2022
Billi Gokuldham Mein Hi Hai	21 mins	14 Mar 2022
Pom Pom In Popatlal's House	20 mins	15 Mar 2022
Ladkiwalo Ka Swagat	21 mins	16 Mar 2022
Rishta Nikla Haath Se	21 mins	17 Mar 2022
Tapu Sena Ki Billi	21 mins	18 Mar 2022
Pom Pom Ka Parivar	21 mins	19 Mar 2022
Permission For Lonavala Trip	22 mins	21 Mar 2022
Bapuji Talks To Himself	22 mins	22 Mar 2022
Bapuji Ka Jigri	22 mins	23 Mar 2022
Busy Day At Gada Electronics	21 mins	24 Mar 2022
Bapuji Goes Out To Party	21 mins	25 Mar 2022
A Walk To Matka Shop	20 mins	26 Mar 2022
Sodhi Ka Sachh	21 mins	28 Mar 2022
No One Believes Sodhi	21 mins	29 Mar 2022
Party Sharty Ke Lakshan	21 mins	30 Mar 2022
Bapuji Gets Left Alone	21 mins	31 Mar 2022
Following Bapuji	21 mins	01 Apr 2022
Bapuji Doing Party Sharty	21 mins	02 Apr 2022
Recording Bapuji's Actions	20 mins	04 Apr 2022
Proof Against Bapuji	21 mins	05 Apr 2022
Toofaan Aa Gaya Hai	22 mins	06 Apr 2022
Beta Baap Ko Kaise Toke?	22 mins	07 Apr 2022
Jethalal Fails To Confront Bapuji	20 mins	08 Apr 2022
Sodhi Ka Secret Plan	21 mins	09 Apr 2022
Sodhi's Plan Backfires	21 mins	11 Apr 2022
Jethalal In Trouble	20 mins	12 Apr 2022
Jethalal Back To His Senses	FULL_HD121 mins	13 Apr 2022
Bapuji's Social Service	21 mins	14 Apr 2022
Godown Mein Chori	21 mins	15 Apr 2022
False Alarm	21 mins	16 Apr 2022
Bhangaar Wala Aya	FULL_HD122 mins	18 Apr 2022
Amulya Virasat	FULL_HD120 mins	19 Apr 2022
Sargam Orchestra Repaired	FULL_HD121 mins	20 Apr 2022
The Tape Recorder Works	FULL_HD121 mins	21 Apr 2022
Golden Memories	FULL_HD121 mins	22 Apr 2022
Dancing To Old Songs	FULL_HD120 mins	23 Apr 2022
Music Ka Dose	FULL_HD122 mins	25 Apr 2022
Nimbu Ki Keemat	FULL_HD122 mins	26 Apr 2022
Life Gives No Lemons	FULL_HD121 mins	27 Apr 2022
Bappa Ki Delivery	FULL_HD121 mins	28 Apr 2022
Lemons For Bhide	FULL_HD122 mins	29 Apr 2022
Nimbu Wali Lottery	FULL_HD122 mins	30 Apr 2022
Nimbu Ka Kya Karein?	FULL_HD121 mins	02 May 2022
Finding Buyers	FULL_HD121 mins	03 May 2022
Deal With A Jamakhor	FULL_HD120 mins	04 May 2022
Catching The Jamakhor	FULL_HD122 mins	05 May 2022
Thought Of The Day	FULL_HD121 mins	06 May 2022
Madhvi Gets Upset	FULL_HD120 mins	07 May 2022
Group Shopping	FULL_HD121 mins	09 May 2022
Notice For Bhide	FULL_HD121 mins	10 May 2022
Popatlal Ki Galat Information	FULL_HD121 mins	11 May 2022
Popatlal Ka Toota Phone	FULL_HD122 mins	12 May 2022
Waiting For Pratiksha	FULL_HD120 mins	13 May 2022
Pratiksha Ka Invitation	FULL_HD121 mins	14 May 2022
Rishte Ka Dress Code	FULL_HD120 mins	16 May 2022
Searching For Pratiksha	FULL_HD120 mins	17 May 2022
Meeting Pratiksha's Family	FULL_HD121 mins	18 May 2022
Popatlal Meets Pratiksha	FULL_HD122 mins	19 May 2022
Popatlal Gets Anxious	FULL_HD122 mins	20 May 2022
Popatlal Ki Neend	FULL_HD122 mins	21 May 2022
Popatlal Kaha Hai?	FULL_HD122 mins	23 May 2022
Popatlal Gayab Hai	FULL_HD121 mins	24 May 2022
Rishte Ke Liye Haan Hai	FULL_HD122 mins	25 May 2022
Shagun Dene Ki Taiyari	FULL_HD120 mins	26 May 2022
Pratiksha Se Sawal	FULL_HD121 mins	27 May 2022
Pratiksha Ka Pyar	FULL_HD122 mins	28 May 2022
Twist In The Tale	FULL_HD121 mins	30 May 2022
Pratiksha Aur Paresh Ka Milan	FULL_HD121 mins	31 May 2022
Jethalal And Babita's Badminton Match	FULL_HD121 mins	01 Jun 2022
Bhide's Mango Consignment	FULL_HD122 mins	02 Jun 2022
Rumours About Gada Electronics	FULL_HD121 mins	03 Jun 2022
Contractor Gives The Good News	FULL_HD121 mins	04 Jun 2022
Meeting Pandit Ji	FULL_HD122 mins	06 Jun 2022
Inauguration Ki Taiyyari	FULL_HD122 mins	07 Jun 2022
Sundar's Promise	FULL_HD122 mins	08 Jun 2022
Kya Daya Ka Aana Cancel?	FULL_HD120 mins	09 Jun 2022
Mehmaano Ko Aamantran	FULL_HD120 mins	10 Jun 2022
Jethalal Ke Liye Gift	FULL_HD121 mins	11 Jun 2022
Dukaan Ready Hogayi	FULL_HD121 mins	13 Jun 2022
Daya Bhabhi Ka Intezaar	FULL_HD121 mins	14 Jun 2022
Daya Ki Chitthi	FULL_HD120 mins	15 Jun 2022
Inauguration Ka Josh	FULL_HD121 mins	16 Jun 2022
Bapuji Hue Gayab	FULL_HD122 mins	17 Jun 2022
New Shop Opened	FULL_HD121 mins	18 Jun 2022
New Shop New Beginning	FULL_HD120 mins	20 Jun 2022
Sundar's Business Proposal	FULL_HD121 mins	21 Jun 2022
Goli Ne Todi Jethalal Ki Khidki	FULL_HD122 mins	22 Jun 2022
Jethalal Surprises Tapu Sena	FULL_HD121 mins	23 Jun 2022
Dost Ki Help	FULL_HD120 mins	24 Jun 2022
Cheque Nahi Cash	FULL_HD121 mins	25 Jun 2022
Peti Ke Andar Peti	FULL_HD120 mins	27 Jun 2022
Gada Electronics Mein Chor	FULL_HD121 mins	28 Jun 2022
Pandey Ji Ka Case	FULL_HD120 mins	29 Jun 2022
Nattu Kaka Ka Hukkum	FULL_HD120 mins	30 Jun 2022
Naye Nattu Kaka Ka Swagat	FULL_HD121 mins	01 Jul 2022
Soda Ka Main Sponsor	21 mins	02 Jul 2022
Bittu Kaun Hai?	21 mins	04 Jul 2022
Bittu Ki Mushkilein	21 mins	05 Jul 2022
Bittu Ki Zimmedari	22 mins	06 Jul 2022
Bittu's Day Out	21 mins	07 Jul 2022
Bittu Ka Future	22 mins	08 Jul 2022
Bittu Ki Counselling	22 mins	09 Jul 2022
Kya Bittu Ko Ayegi Samajh?	21 mins	11 Jul 2022
Bittu Ko Aayi Samajh	18 mins	12 Jul 2022
Popatlal Ke Gehne	21 mins	13 Jul 2022
Locker Ki Talaash	21 mins	14 Jul 2022
Popatlal's Paranoia	21 mins	15 Jul 2022
Sirf Ek Zimmedar Aadmi	20 mins	16 Jul 2022
Popatlal Ki Amanat	21 mins	18 Jul 2022
Popatlal Ke Zewar Hue Idhar Se Udhar	22 mins	19 Jul 2022
Gehno Ki Zimmedari Kaun Le?	20 mins	20 Jul 2022
Kya Sodhi Sambhaal Payega Zewar?	21 mins	21 Jul 2022
Popatlal Asks For His Amanat	21 mins	22 Jul 2022
Getting The Box Back	20 mins	23 Jul 2022
Popatlal Ka Dabba Gayab	20 mins	25 Jul 2022
Society Mein Tension	21 mins	26 Jul 2022
Popatlal Ka Darr	21 mins	27 Jul 2022
Phas Gaya Bhide	23 mins	28 Jul 2022
Popatlal Ka Sona	22 mins	29 Jul 2022
Dabba Khali Hai	22 mins	30 Jul 2022
Tapu Sena Distracts Popatlal	21 mins	01 Aug 2022
Gehno Ke Saath Kho Kho	22 mins	02 Aug 2022
Sabke Ghar Ki Talashi	21 mins	03 Aug 2022
Jethalal Pakkda Gaya	22 mins	04 Aug 2022
Locker Ka Intezaam	20 mins	05 Aug 2022
Bhide Ke Liye Cheque	21 mins	06 Aug 2022
Goli Spoils Bhide's Surprise	18 mins	08 Aug 2022
Bhide Ki Choices	17 mins	09 Aug 2022
Surprise Bani News	21 mins	10 Aug 2022
Surprise Hua Fail	22 mins	11 Aug 2022
Har Ghar Tiranga	22 mins	12 Aug 2022
Gadi Ka Welcome	21 mins	13 Aug 2022
Bhide Reveals His Surprise	23 mins	15 Aug 2022
Roshan Out Of Town	20 mins	16 Aug 2022
Celebrating Nowruz	21 mins	17 Aug 2022
Sodhi Ki Party	20 mins	18 Aug 2022
Nowruz Ki Khushiya	20 mins	19 Aug 2022
Gokuldham Ki Janmashtami	21 mins	20 Aug 2022
Dahi Handi Time	22 mins	22 Aug 2022
Govinda Aala	22 mins	23 Aug 2022
Goli Ka Prank	21 mins	24 Aug 2022
Khush Khabri For Jethalal	21 mins	25 Aug 2022
Jethalal's USA Trip	21 mins	26 Aug 2022
America Jane Ki Khush Khabri	21 mins	27 Aug 2022
America Ki Taiyyari	21 mins	29 Aug 2022
America Ki Packing	21 mins	30 Aug 2022
Jethalal Chala America	21 mins	31 Aug 2022
Bapuji Ka Khayal	22 mins	01 Sep 2022
Ghar Pe Akele Bapuji	20 mins	02 Sep 2022
First Night Alone	20 mins	03 Sep 2022
Bapuji Ka Plan Chowpat	22 mins	05 Sep 2022
Gokuldham's First Priority - Bapuji	22 mins	06 Sep 2022
Bapuji Kidhar Hai?	21 mins	07 Sep 2022
Bapuji Hue Gussa	21 mins	08 Sep 2022
Welcoming Bappa	22 mins	09 Sep 2022
Gokuldham Colony Mein Aaye Bappa	21 mins	10 Sep 2022
Bappa Ke Aane Ki Khushiyan	21 mins	12 Sep 2022
Taarak's Gift	21 mins	13 Sep 2022
Taarak Returns	20 mins	14 Sep 2022
Rangarang Karyakram Ka Excitement	20 mins	15 Sep 2022
Rangarang Karyakram Ke Special Guest	21 mins	16 Sep 2022
Bharat Ke Prasiddh Mandir	20 mins	17 Sep 2022
The Country Of Miracles	20 mins	19 Sep 2022
Hindustan Ki Pehchaan	20 mins	20 Sep 2022
Bharatiya Sanskriti Ki Khaasiyat	21 mins	21 Sep 2022
Rangarang Karyakram Ki Charam Seema	21 mins	22 Sep 2022
